"_id","_index","_score","_type",duration,id,kind,"localEndpoint.ipv4","localEndpoint.port","localEndpoint.serviceName",name,parentId,shared,"tags.error","tags.http.host","tags.http.method","tags.http.path","tags.http.status_code","tags.http.url","tags.mvc.controller.class","tags.mvc.controller.method","tags.spring.instance_id",timestamp,"timestamp_millis",traceId
"8XW9L2oBeWuhw1dsdO_3","zipkin:span-2019-04-18",,span,"87,000",efb1b3f8a8f5f38a,CLIENT,"192.168.0.48",12346,"ts-travel-service","http:/order/calculate",feabd78292ccafbd,,,"ts-order-service",POST,"/order/calculate",,"http://ts-order-service:12031/order/calculate",,,"76846330712d:ts-travel-service:12346","1,555,579,106,441,999.75","April 18th 2019, 09:18:26.442",feabd78292ccafbd
GHW9L2oBeWuhw1dsePBB,"zipkin:span-2019-04-18",,span,"6,000",3c6910db3b78676b,SERVER,"192.168.0.19",12345,"ts-station-service","http:/ticketinfo/queryfortravel",feabd78292ccafbd,true,,,,,,,StationController,queryForId,"d17809beb05f:ts-station-service:12345","1,555,579,106,398,000.25","April 18th 2019, 09:18:26.398",feabd78292ccafbd
"CXW9L2oBeWuhw1dsd_AU","zipkin:span-2019-04-18",,span,"11,000",50f24985b3606fb4,CLIENT,"192.168.0.31",15680,"ts-basic-service","http:/station/queryforid",3c6910db3b78676b,,,"ts-station-service",POST,"/station/queryForId",,"http://ts-station-service:12345/station/queryForId",,,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,106,393,000","April 18th 2019, 09:18:26.393",feabd78292ccafbd
F3W9L2oBeWuhw1dsePBB,"zipkin:span-2019-04-18",,span,"6,000",3c6910db3b78676b,SERVER,"192.168.0.19",12345,"ts-station-service","http:/ticketinfo/queryfortravel",feabd78292ccafbd,true,,,,,,,StationController,queryForId,"d17809beb05f:ts-station-service:12345","1,555,579,106,383,000","April 18th 2019, 09:18:26.383",feabd78292ccafbd
"CHW9L2oBeWuhw1dsd_AU","zipkin:span-2019-04-18",,span,"14,000",e731c44b12ac2158,CLIENT,"192.168.0.31",15680,"ts-basic-service","http:/station/queryforid",3c6910db3b78676b,,,"ts-station-service",POST,"/station/queryForId",,"http://ts-station-service:12345/station/queryForId",,,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,106,377,000","April 18th 2019, 09:18:26.377",feabd78292ccafbd
"FXW9L2oBeWuhw1dsd_De","zipkin:span-2019-04-18",,span,"115,000",3c6910db3b78676b,SERVER,"192.168.0.53",16579,"ts-price-service","http:/ticketinfo/queryfortravel",feabd78292ccafbd,true,,,,,,,PriceController,query,"156fa5af557f:ts-price-service:16579","1,555,579,106,256,000","April 18th 2019, 09:18:26.256",feabd78292ccafbd
"B3W9L2oBeWuhw1dsd_AU","zipkin:span-2019-04-18",,span,"265,000",ce8ebf7d918a911a,CLIENT,"192.168.0.31",15680,"ts-basic-service","http:/price/query",3c6910db3b78676b,,,"ts-price-service",POST,"/price/query",,"http://ts-price-service:16579/price/query",,,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,106,109,000","April 18th 2019, 09:18:26.109",feabd78292ccafbd
9nW9L2oBeWuhw1dsde8z,"zipkin:span-2019-04-18",,span,"5,000",3c6910db3b78676b,SERVER,"192.168.0.42",11178,"ts-route-service","http:/ticketinfo/queryfortravel",feabd78292ccafbd,true,,,,,,,RouteController,queryById,"54aef040bc8b:ts-route-service:11178","1,555,579,106,093,000","April 18th 2019, 09:18:26.093",feabd78292ccafbd
"BnW9L2oBeWuhw1dsd_AU","zipkin:span-2019-04-18",,span,"9,000",16eb9eb39d66f02a,CLIENT,"192.168.0.31",15680,"ts-basic-service","http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0",3c6910db3b78676b,,,"ts-route-service",GET,"/route/queryById/f3d4d4ef-693b-4456-8eed-59c0d717dd08",,"http://ts-route-service:11178/route/queryById/f3d4d4ef-693b-4456-8eed-59c0d717dd08",,,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,106,089,999.75","April 18th 2019, 09:18:26.090",feabd78292ccafbd
5XW9L2oBeWuhw1dsdO9F,"zipkin:span-2019-04-18",,span,"10,000",3c6910db3b78676b,SERVER,"192.168.0.44",14567,"ts-train-service","http:/ticketinfo/queryfortravel",feabd78292ccafbd,true,,,,,,,TrainController,retrieve,"2eec8da1397f:ts-train-service:14567","1,555,579,106,067,000","April 18th 2019, 09:18:26.067",feabd78292ccafbd
"BXW9L2oBeWuhw1dsd_AU","zipkin:span-2019-04-18",,span,"16,000",e433bc6b3a764f5c,CLIENT,"192.168.0.31",15680,"ts-basic-service","http:/train/retrieve",3c6910db3b78676b,,,"ts-train-service",POST,"/train/retrieve",,"http://ts-train-service:14567/train/retrieve",,,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,106,062,000.25","April 18th 2019, 09:18:26.062",feabd78292ccafbd
6XW9L2oBeWuhw1dsdO9Q,"zipkin:span-2019-04-18",,span,"9,000",3c6910db3b78676b,SERVER,"192.168.0.19",12345,"ts-station-service","http:/ticketinfo/queryfortravel",feabd78292ccafbd,true,,,,,,,StationController,exist,"d17809beb05f:ts-station-service:12345","1,555,579,106,045,000","April 18th 2019, 09:18:26.045",feabd78292ccafbd
"5HW9L2oBeWuhw1dsc-8l","zipkin:span-2019-04-18",,span,"15,000",e6b88c737f846557,CLIENT,"192.168.0.31",15680,"ts-basic-service","http:/station/exist",3c6910db3b78676b,,,"ts-station-service",POST,"/station/exist",,"http://ts-station-service:12345/station/exist",,,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,106,041,000","April 18th 2019, 09:18:26.041",feabd78292ccafbd
6HW9L2oBeWuhw1dsdO9Q,"zipkin:span-2019-04-18",,span,"18,000",3c6910db3b78676b,SERVER,"192.168.0.19",12345,"ts-station-service","http:/ticketinfo/queryfortravel",feabd78292ccafbd,true,,,,,,,StationController,exist,"d17809beb05f:ts-station-service:12345","1,555,579,106,019,000","April 18th 2019, 09:18:26.019",feabd78292ccafbd
"43W9L2oBeWuhw1dsc-8l","zipkin:span-2019-04-18",,span,"24,000",286597c81ddd3d08,CLIENT,"192.168.0.31",15680,"ts-basic-service","http:/station/exist",3c6910db3b78676b,,,"ts-station-service",POST,"/station/exist",,"http://ts-station-service:12345/station/exist",,,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,106,015,000","April 18th 2019, 09:18:26.015",feabd78292ccafbd
"CnW9L2oBeWuhw1dsd_AU","zipkin:span-2019-04-18",,span,"427,000",3c6910db3b78676b,SERVER,"192.168.0.31",15680,"ts-basic-service","http:/ticketinfo/queryfortravel",feabd78292ccafbd,true,,,,,,,BasicController,queryForTravel,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,105,990,000.25","April 18th 2019, 09:18:25.990",feabd78292ccafbd
"-3W9L2oBeWuhw1dsde-M","zipkin:span-2019-04-18",,span,"433,000",99128ea82ec73157,CLIENT,"192.168.0.50",15681,"ts-ticketinfo-service","http:/basic/queryfortravel",3c6910db3b78676b,,,"ts-basic-service",POST,"/basic/queryForTravel",,"http://ts-basic-service:15680/basic/queryForTravel",,,"e12a649c6b7e:ts-ticketinfo-service:15681","1,555,579,105,987,000","April 18th 2019, 09:18:25.987",feabd78292ccafbd
"_HW9L2oBeWuhw1dsde-M","zipkin:span-2019-04-18",,span,"486,000",3c6910db3b78676b,SERVER,"192.168.0.50",15681,"ts-ticketinfo-service","http:/ticketinfo/queryfortravel",feabd78292ccafbd,true,,,,,,,TicketInfoController,queryForTravel,"e12a649c6b7e:ts-ticketinfo-service:15681","1,555,579,105,947,000","April 18th 2019, 09:18:25.947",feabd78292ccafbd
"8HW9L2oBeWuhw1dsdO_3","zipkin:span-2019-04-18",,span,"493,000",3c6910db3b78676b,CLIENT,"192.168.0.48",12346,"ts-travel-service","http:/ticketinfo/queryfortravel",feabd78292ccafbd,,,"ts-ticketinfo-service",POST,"/ticketinfo/queryForTravel",,"http://ts-ticketinfo-service:15681/ticketinfo/queryForTravel",,,"76846330712d:ts-travel-service:12346","1,555,579,105,943,000","April 18th 2019, 09:18:25.943",feabd78292ccafbd
9XW9L2oBeWuhw1dsde8z,"zipkin:span-2019-04-18",,span,"5,000",25da17641f9bbc43,SERVER,"192.168.0.42",11178,"ts-route-service","http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0",feabd78292ccafbd,true,,,,,,,RouteController,queryById,"54aef040bc8b:ts-route-service:11178","1,555,579,105,925,000","April 18th 2019, 09:18:25.925",feabd78292ccafbd
"73W9L2oBeWuhw1dsdO_3","zipkin:span-2019-04-18",,span,"6,000",25da17641f9bbc43,CLIENT,"192.168.0.48",12346,"ts-travel-service","http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0",feabd78292ccafbd,,,"ts-route-service",GET,"/route/queryById/f3d4d4ef-693b-4456-8eed-59c0d717dd08",,"http://ts-route-service:11178/route/queryById/f3d4d4ef-693b-4456-8eed-59c0d717dd08",,,"76846330712d:ts-travel-service:12346","1,555,579,105,923,000","April 18th 2019, 09:18:25.923",feabd78292ccafbd
9HW9L2oBeWuhw1dsde8z,"zipkin:span-2019-04-18",,span,"5,000",c804907d7bd2110a,SERVER,"192.168.0.42",11178,"ts-route-service","http:/route/querybyid/084837bb-53c8-4438-87c8-0321",feabd78292ccafbd,true,,,,,,,RouteController,queryById,"54aef040bc8b:ts-route-service:11178","1,555,579,105,916,000","April 18th 2019, 09:18:25.916",feabd78292ccafbd
"7nW9L2oBeWuhw1dsdO_3","zipkin:span-2019-04-18",,span,"8,000",c804907d7bd2110a,CLIENT,"192.168.0.48",12346,"ts-travel-service","http:/route/querybyid/084837bb-53c8-4438-87c8-0321",feabd78292ccafbd,,,"ts-route-service",GET,"/route/queryById/084837bb-53c8-4438-87c8-0321a4d09917",,"http://ts-route-service:11178/route/queryById/084837bb-53c8-4438-87c8-0321a4d09917",,,"76846330712d:ts-travel-service:12346","1,555,579,105,913,000","April 18th 2019, 09:18:25.913",feabd78292ccafbd
83W9L2oBeWuhw1dsde8z,"zipkin:span-2019-04-18",,span,"3,000",5e9433fc7cff8798,SERVER,"192.168.0.42",11178,"ts-route-service","http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b",feabd78292ccafbd,true,,,,,,,RouteController,queryById,"54aef040bc8b:ts-route-service:11178","1,555,579,105,908,000","April 18th 2019, 09:18:25.908",feabd78292ccafbd
"7XW9L2oBeWuhw1dsdO_3","zipkin:span-2019-04-18",,span,"6,000",5e9433fc7cff8798,CLIENT,"192.168.0.48",12346,"ts-travel-service","http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b",feabd78292ccafbd,,,"ts-route-service",GET,"/route/queryById/a3f256c1-0e43-4f7d-9c21-121bf258101f",,"http://ts-route-service:11178/route/queryById/a3f256c1-0e43-4f7d-9c21-121bf258101f",,,"76846330712d:ts-travel-service:12346","1,555,579,105,905,999.75","April 18th 2019, 09:18:25.906",feabd78292ccafbd
8nW9L2oBeWuhw1dsde8z,"zipkin:span-2019-04-18",,span,"12,000",2df5e16d3e46ab7c,SERVER,"192.168.0.42",11178,"ts-route-service","http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2",feabd78292ccafbd,true,,,,,,,RouteController,queryById,"54aef040bc8b:ts-route-service:11178","1,555,579,105,887,000","April 18th 2019, 09:18:25.887",feabd78292ccafbd
"7HW9L2oBeWuhw1dsdO_3","zipkin:span-2019-04-18",,span,"23,000",2df5e16d3e46ab7c,CLIENT,"192.168.0.48",12346,"ts-travel-service","http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2",feabd78292ccafbd,,,"ts-route-service",GET,"/route/queryById/aefcef3f-3f42-46e8-afd7-6cb2a928bd3d",,"http://ts-route-service:11178/route/queryById/aefcef3f-3f42-46e8-afd7-6cb2a928bd3d",,,"76846330712d:ts-travel-service:12346","1,555,579,105,881,000","April 18th 2019, 09:18:25.881",feabd78292ccafbd
